time,"Probe V min","Probe V max"
270.8414999945546,5,5
271.09749999455465,5,5
271.3534999945546,5,5
271.60949999455465,5,5
271.8654999945546,5,5
272.1214999945546,5,5
272.3774999945546,0,5
272.63349999455465,0,0
272.8894999945546,0,0
273.1454999945546,0,0
273.4014999945546,0,0
273.65749999455466,0,0
273.9134999945546,0,0
274.1694999945546,0,0
274.4254999945546,0,0
274.68149999455466,0,0
274.9374999945546,0,0
275.1934999945546,0,0
275.4494999945546,0,0
275.70549999455466,0,0
275.96149999455463,0,0
276.2174999945546,0,0
276.47349999455463,0,0
276.72949999455466,0,0
276.98549999455463,0,0
277.2414999945546,0,0
277.49749999455463,0,0
277.75349999455466,0,0
278.00949999455463,0,0
278.2654999945546,0,0
278.52149999455463,0,0
278.7774999945546,0,0
279.03349999455463,0,0
279.2894999945546,0,0
279.54549999455463,0,0
279.8014999945546,0,0
280.05749999455463,0,0
280.3134999945546,0,0
280.56949999455463,0,0
280.8254999945546,0,0
281.08149999455463,0,0
281.3374999945546,0,0
281.59349999455463,0,0
281.8494999945546,0,0
282.10549999455463,0,0
282.3614999945546,0,0
282.61749999455463,0,0
282.8734999945546,0,0
283.12949999455464,0,0
283.3854999945546,0,0
283.64149999455464,0,0
283.8974999945546,0,0
284.15349999455464,0,0
284.4094999945546,0,0
284.66549999455464,0,0
284.9214999945546,0,0
285.17749999455464,0,0
285.4334999945546,0,0
285.68949999455464,0,0
285.9454999945546,0,0
286.20149999455464,0,0
286.4574999945546,0,0
286.71349999455464,0,0
286.9694999945546,0,0
287.22549999455464,0,0
287.4814999945546,0,0
287.73749999455464,0,0
287.9934999945546,0,0
288.24949999455464,0,0
288.5054999945546,0,0
288.76149999455464,0,0
289.0174999945546,0,0
289.27349999455464,0,0
289.5294999945546,0,0
289.78549999455464,0,0
290.0414999945546,0,0
290.29749999455464,0,0
290.5534999945546,0,0
290.80949999455464,0,0
291.0654999945546,0,0
291.32149999455464,0,0
291.5774999945546,0,0
291.83349999455464,0,5
292.0894999945546,5,5
292.34549999455464,5,5
292.6014999945546,5,5
292.85749999455464,5,5
293.1134999945546,5,5
293.36949999455464,5,5
293.6254999945546,5,5
293.88149999455464,5,5
294.1374999945546,5,5
294.39349999455465,5,5
294.6494999945546,5,5
294.90549999455465,5,5
295.1614999945546,5,5
295.41749999455465,5,5
295.6734999945546,5,5
295.92949999455465,5,5
296.1854999945546,5,5
296.44149999455465,5,5
296.6974999945546,5,5
296.95349999455465,5,5
297.2094999945546,5,5
297.46549999455465,5,5
297.7214999945546,5,5
297.97749999455465,5,5
298.2334999945546,5,5
298.48949999455465,5,5
298.7454999945546,5,5
299.00149999455465,5,5
299.2574999945546,5,5
299.51349999455465,5,5
299.7694999945546,5,5
300.02549999455465,5,5
300.2814999945546,5,5
300.53749999455465,5,5
300.7934999945546,5,5
301.04949999455465,5,5
301.3054999945546,5,5
301.56149999455465,5,5
301.8174999945546,5,5
302.07349999455465,5,5
302.3294999945546,5,5
302.58549999455465,5,5
302.8414999945546,5,5
303.0974999945546,5,5
